AÃ‘O,TRIMESTRE,NOM_MUN,INSEGURO,SEGURO,TOTAL_REGISTROS,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2019,1,KANASIN,9,6,15,40.0,60.0,0.0
2019,1,MERIDA,77,135,212,63.67924528301887,36.32075471698113,0.0
2019,1,PROGRESO,7,11,18,61.111111111111114,38.88888888888889,0.0
2019,1,UMAN,10,8,18,44.44444444444444,55.55555555555556,0.0
2022,1,KANASIN,4,15,19,78.94736842105263,21.052631578947366,0.0
2022,1,MERIDA,45,173,218,79.35779816513761,20.642201834862387,0.0
2022,1,PROGRESO,13,12,25,48.0,52.0,0.0
2022,1,UMAN,1,9,10,90.0,10.0,0.0
2022,2,KANASIN,8,12,20,60.0,40.0,0.0
2022,2,MERIDA,70,152,222,68.46846846846847,31.53153153153153,0.0
2022,2,PROGRESO,10,14,24,58.333333333333336,41.66666666666667,0.0
2022,2,UMAN,3,6,9,66.66666666666666,33.33333333333333,0.0
2022,3,KANASIN,13,11,24,45.83333333333333,54.166666666666664,0.0
2022,3,MERIDA,52,159,211,75.35545023696683,24.644549763033176,0.0
2022,3,PROGRESO,11,13,24,54.166666666666664,45.83333333333333,0.0
2022,3,UMAN,1,3,4,75.0,25.0,0.0
2022,4,KANASIN,11,12,23,52.17391304347826,47.82608695652174,0.0
2022,4,MERIDA,55,157,212,74.05660377358491,25.943396226415093,0.0
2022,4,PROGRESO,10,13,23,56.52173913043478,43.47826086956522,0.0
2022,4,UMAN,1,3,4,75.0,25.0,0.0
2023,4,KANASIN,10,20,30,66.66666666666666,33.33333333333333,0.0
2023,4,MERIDA,45,184,229,80.34934497816593,19.65065502183406,0.0
2023,4,PROGRESO,5,4,9,44.44444444444444,55.55555555555556,0.0
2024,1,KANASIN,8,25,33,75.75757575757575,24.242424242424242,0.0
2024,1,MERIDA,50,166,216,76.85185185185185,23.14814814814815,0.0
2024,1,PROGRESO,3,5,8,62.5,37.5,0.0
2024,2,KANASIN,7,14,21,66.66666666666666,33.33333333333333,0.0
2024,2,MERIDA,40,186,226,82.30088495575221,17.699115044247787,0.0
2024,2,PROGRESO,2,2,4,50.0,50.0,0.0
2024,2,UMAN,3,2,5,40.0,60.0,0.0
2024,3,KANASIN,5,20,25,80.0,20.0,0.0
2024,3,MERIDA,46,177,223,79.37219730941703,20.62780269058296,0.0
2024,3,PROGRESO,2,3,5,60.0,40.0,0.0
2024,3,UMAN,2,3,5,60.0,40.0,0.0
2024,4,KANASIN,16,19,35,54.285714285714285,45.714285714285715,0.0
2024,4,MERIDA,55,155,210,73.80952380952381,26.190476190476193,0.0
2024,4,PROGRESO,2,3,5,60.0,40.0,0.0
2024,4,UMAN,7,3,10,30.0,70.0,0.0
2025,1,KANASIN,14,15,29,51.724137931034484,48.275862068965516,0.0
2025,1,MERIDA,71,138,209,66.02870813397129,33.97129186602871,0.0
2025,1,PROGRESO,4,6,10,60.0,40.0,0.0
2025,1,UMAN,6,4,10,40.0,60.0,0.0
2025,2,KANASIN,17,8,25,32.0,68.0,0.0
2025,2,MERIDA,73,138,211,65.40284360189574,34.59715639810427,0.0
2025,2,PROGRESO,3,6,9,66.66666666666666,33.33333333333333,0.0
2025,2,UMAN,6,4,10,40.0,60.0,0.0
