AÃ‘O,TRIMESTRE,ENT_CODE,MUN_CODE,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE
2015,4,1,14,44,14,30,0,31.818181818181817,68.18181818181817,0.0
2015,4,10,26,42,10,32,0,23.809523809523807,76.19047619047619,0.0
2015,4,11,5,70,14,56,0,20.0,80.0,0.0
2015,4,12,13,46,0,46,0,0.0,100.0,0.0
2015,4,13,43,42,40,2,0,95.23809523809523,4.761904761904762,0.0
2015,4,14,2,226,50,173,3,22.123893805309734,76.54867256637168,1.3274336283185841
2015,4,15,1,140,17,123,0,12.142857142857142,87.85714285714286,0.0
2015,4,15,16,45,0,45,0,0.0,100.0,0.0
2015,4,16,15,39,9,30,0,23.076923076923077,76.92307692307693,0.0
2015,4,17,29,44,2,42,0,4.545454545454546,95.45454545454545,0.0
2015,4,18,27,44,33,11,0,75.0,25.0,0.0
2015,4,19,3,226,123,101,2,54.424778761061944,44.690265486725664,0.8849557522123894
2015,4,2,21,41,17,24,0,41.46341463414634,58.536585365853654,0.0
2015,4,20,31,42,14,28,0,33.33333333333333,66.66666666666666,0.0
2015,4,21,4,55,24,31,0,43.63636363636363,56.36363636363636,0.0
2015,4,22,36,43,20,23,0,46.51162790697674,53.48837209302325,0.0
2015,4,23,41,38,11,27,0,28.947368421052634,71.05263157894737,0.0
2015,4,24,7,36,11,25,0,30.555555555555557,69.44444444444444,0.0
2015,4,25,24,41,9,32,0,21.951219512195124,78.04878048780488,0.0
2015,4,26,25,38,8,30,0,21.052631578947366,78.94736842105263,0.0
2015,4,27,18,37,0,37,0,0.0,100.0,0.0
2015,4,28,10,44,8,36,0,18.181818181818183,81.81818181818183,0.0
2015,4,29,39,36,17,19,0,47.22222222222222,52.77777777777778,0.0
2015,4,3,40,34,9,25,0,26.47058823529412,73.52941176470588,0.0
2015,4,30,12,40,4,36,0,10.0,90.0,0.0
2015,4,31,8,41,36,5,0,87.8048780487805,12.195121951219512,0.0
2015,4,32,32,38,9,29,0,23.684210526315788,76.31578947368422,0.0
2015,4,4,28,34,17,17,0,50.0,50.0,0.0
2015,4,5,17,45,25,20,0,55.55555555555556,44.44444444444444,0.0
2015,4,6,33,46,11,35,0,23.91304347826087,76.08695652173914,0.0
2015,4,7,19,41,12,29,0,29.268292682926827,70.73170731707317,0.0
2015,4,8,9,41,11,30,0,26.82926829268293,73.17073170731707,0.0
2015,4,9,1,205,62,143,0,30.24390243902439,69.7560975609756,0.0
