NOM_ENT,NOM_MUN,NOM_CD,TOTAL_REGISTROS,TOTAL_SEGUROS,TOTAL_INSEGUROS,TOTAL_NO_RESPONDE,PCT_SEGUROS,PCT_INSEGUROS,PCT_NO_RESPONDE,AÑO,TRIMESTRE
Yucatán,MERIDA,SIN_CIUDAD,256,144,112,0,56.25,43.75,0.0,2016,1
Yucatán,MERIDA,SIN_CIUDAD,261,175,86,0,67.05,32.95,0.0,2016,2
Yucatán,MERIDA,SIN_CIUDAD,253,164,89,0,64.82,35.18,0.0,2016,3
Yucatán,KANASIN,SIN_CIUDAD,21,4,17,0,19.05,80.95,0.0,2016,4
Yucatán,MERIDA,SIN_CIUDAD,208,141,67,0,67.79,32.21,0.0,2016,4
Yucatán,PROGRESO,SIN_CIUDAD,14,9,5,0,64.29,35.71,0.0,2016,4
Yucatán,UMAN,SIN_CIUDAD,14,8,6,0,57.14,42.86,0.0,2016,4
Yucatán,KANASIN,SIN_CIUDAD,23,6,17,0,26.09,73.91,0.0,2017,1
Yucatán,MERIDA,SIN_CIUDAD,211,151,60,0,71.56,28.44,0.0,2017,1
Yucatán,PROGRESO,SIN_CIUDAD,14,7,7,0,50.0,50.0,0.0,2017,1
Yucatán,UMAN,SIN_CIUDAD,15,9,6,0,60.0,40.0,0.0,2017,1
Yucatán,KANASIN,SIN_CIUDAD,22,5,17,0,22.73,77.27,0.0,2017,2
Yucatán,MERIDA,SIN_CIUDAD,212,153,59,0,72.17,27.83,0.0,2017,2
Yucatán,PROGRESO,SIN_CIUDAD,15,8,7,0,53.33,46.67,0.0,2017,2
Yucatán,UMAN,SIN_CIUDAD,15,10,5,0,66.67,33.33,0.0,2017,2
Yucatán,KANASIN,SIN_CIUDAD,19,2,17,0,10.53,89.47,0.0,2017,3
Yucatán,MERIDA,SIN_CIUDAD,215,166,49,0,77.21,22.79,0.0,2017,3
Yucatán,PROGRESO,SIN_CIUDAD,14,8,6,0,57.14,42.86,0.0,2017,3
Yucatán,UMAN,SIN_CIUDAD,15,9,6,0,60.0,40.0,0.0,2017,3
Yucatán,KANASIN,SIN_CIUDAD,19,6,13,0,31.58,68.42,0.0,2017,4
Yucatán,MERIDA,SIN_CIUDAD,216,166,50,0,76.85,23.15,0.0,2017,4
Yucatán,PROGRESO,SIN_CIUDAD,17,12,5,0,70.59,29.41,0.0,2017,4
Yucatán,UMAN,SIN_CIUDAD,9,7,2,0,77.78,22.22,0.0,2017,4
Yucatán,KANASIN,SIN_CIUDAD,20,9,11,0,45.0,55.0,0.0,2018,1
Yucatán,MERIDA,SIN_CIUDAD,222,168,54,0,75.68,24.32,0.0,2018,1
Yucatán,PROGRESO,SIN_CIUDAD,10,7,3,0,70.0,30.0,0.0,2018,1
Yucatán,UMAN,SIN_CIUDAD,14,6,8,0,42.86,57.14,0.0,2018,1
Yucatán,KANASIN,SIN_CIUDAD,21,6,15,0,28.57,71.43,0.0,2018,2
Yucatán,MERIDA,SIN_CIUDAD,217,150,67,0,69.12,30.88,0.0,2018,2
Yucatán,PROGRESO,SIN_CIUDAD,12,6,6,0,50.0,50.0,0.0,2018,2
Yucatán,UMAN,SIN_CIUDAD,14,9,5,0,64.29,35.71,0.0,2018,2
Yucatán,KANASIN,SIN_CIUDAD,18,5,13,0,27.78,72.22,0.0,2018,3
Yucatán,MERIDA,SIN_CIUDAD,216,141,75,0,65.28,34.72,0.0,2018,3
Yucatán,PROGRESO,SIN_CIUDAD,17,10,7,0,58.82,41.18,0.0,2018,3
Yucatán,UMAN,SIN_CIUDAD,14,7,7,0,50.0,50.0,0.0,2018,3
Yucatán,KANASIN,SIN_CIUDAD,13,6,7,0,46.15,53.85,0.0,2018,4
Yucatán,MERIDA,SIN_CIUDAD,219,163,56,0,74.43,25.57,0.0,2018,4
Yucatán,PROGRESO,SIN_CIUDAD,18,12,6,0,66.67,33.33,0.0,2018,4
Yucatán,UMAN,SIN_CIUDAD,19,10,9,0,52.63,47.37,0.0,2018,4
Yucatán,KANASIN,SIN_CIUDAD,15,6,9,0,40.0,60.0,0.0,2019,1
Yucatán,MERIDA,SIN_CIUDAD,212,135,77,0,63.68,36.32,0.0,2019,1
Yucatán,PROGRESO,SIN_CIUDAD,18,11,7,0,61.11,38.89,0.0,2019,1
Yucatán,UMAN,SIN_CIUDAD,18,8,10,0,44.44,55.56,0.0,2019,1
Yucatán,KANASIN,SIN_CIUDAD,14,9,5,0,64.29,35.71,0.0,2019,2
Yucatán,MERIDA,SIN_CIUDAD,217,157,60,0,72.35,27.65,0.0,2019,2
Yucatán,PROGRESO,SIN_CIUDAD,17,12,5,0,70.59,29.41,0.0,2019,2
Yucatán,UMAN,SIN_CIUDAD,17,7,10,0,41.18,58.82,0.0,2019,2
Yucatán,KANASIN,SIN_CIUDAD,15,7,8,0,46.67,53.33,0.0,2019,3
Yucatán,MERIDA,SIN_CIUDAD,221,176,45,0,79.64,20.36,0.0,2019,3
Yucatán,PROGRESO,SIN_CIUDAD,17,11,6,0,64.71,35.29,0.0,2019,3
Yucatán,UMAN,SIN_CIUDAD,17,15,2,0,88.24,11.76,0.0,2019,3
Yucatán,KANASIN,SIN_CIUDAD,14,10,4,0,71.43,28.57,0.0,2019,4
Yucatán,MERIDA,SIN_CIUDAD,212,179,31,2,84.43,14.62,0.94,2019,4
Yucatán,PROGRESO,SIN_CIUDAD,17,14,3,0,82.35,17.65,0.0,2019,4
Yucatán,UMAN,SIN_CIUDAD,18,11,7,0,61.11,38.89,0.0,2019,4
Yucatán,KANASIN,SIN_CIUDAD,7,5,2,0,71.43,28.57,0.0,2020,1
Yucatán,MERIDA,SIN_CIUDAD,216,168,48,0,77.78,22.22,0.0,2020,1
Yucatán,PROGRESO,SIN_CIUDAD,23,13,10,0,56.52,43.48,0.0,2020,1
Yucatán,UMAN,SIN_CIUDAD,18,12,6,0,66.67,33.33,0.0,2020,1
Yucatán,KANASIN,"Merida",10,7,3,0,70.0,30.0,0.0,2020,3
Yucatán,MERIDA,"Merida",212,167,45,0,78.77,21.23,0.0,2020,3
Yucatán,PROGRESO,"Merida",28,16,12,0,57.14,42.86,0.0,2020,3
Yucatán,UMAN,"Merida",12,9,3,0,75.0,25.0,0.0,2020,3
Yucatán,KANASIN,"Merida",9,2,7,0,22.22,77.78,0.0,2020,4
Yucatán,MERIDA,"Merida",215,171,44,0,79.53,20.47,0.0,2020,4
Yucatán,PROGRESO,"Merida",28,15,13,0,53.57,46.43,0.0,2020,4
Yucatán,UMAN,"Merida",12,7,5,0,58.33,41.67,0.0,2020,4
Yucatán,KANASIN,"Merida",14,7,7,0,50.0,50.0,0.0,2021,1
Yucatán,MERIDA,"Merida",215,159,56,0,73.95,26.05,0.0,2021,1
Yucatán,PROGRESO,"Merida",23,11,12,0,47.83,52.17,0.0,2021,1
Yucatán,UMAN,"Merida",13,7,6,0,53.85,46.15,0.0,2021,1
Yucatán,KANASIN,"Merida",13,2,11,0,15.38,84.62,0.0,2021,2
Yucatán,MERIDA,"Merida",218,176,42,0,80.73,19.27,0.0,2021,2
Yucatán,PROGRESO,"Merida",22,11,11,0,50.0,50.0,0.0,2021,2
Yucatán,UMAN,"Merida",15,8,7,0,53.33,46.67,0.0,2021,2
Yucatán,KANASIN,"Merida",18,7,11,0,38.89,61.11,0.0,2021,3
Yucatán,MERIDA,"Merida",217,150,67,0,69.12,30.88,0.0,2021,3
Yucatán,PROGRESO,"Merida",17,10,7,0,58.82,41.18,0.0,2021,3
Yucatán,UMAN,"Merida",15,8,7,0,53.33,46.67,0.0,2021,3
Yucatán,KANASIN,"Merida",19,9,10,0,47.37,52.63,0.0,2021,4
Yucatán,MERIDA,"Merida",219,165,54,0,75.34,24.66,0.0,2021,4
Yucatán,PROGRESO,"Merida",20,12,8,0,60.0,40.0,0.0,2021,4
Yucatán,UMAN,"Merida",10,6,4,0,60.0,40.0,0.0,2021,4
Yucatán,KANASIN,Merida,19,15,4,0,78.95,21.05,0.0,2022,1
Yucatán,MERIDA,Merida,218,173,45,0,79.36,20.64,0.0,2022,1
Yucatán,PROGRESO,Merida,25,12,13,0,48.0,52.0,0.0,2022,1
Yucatán,UMAN,Merida,10,9,1,0,90.0,10.0,0.0,2022,1
Yucatán,KANASIN,Merida,20,12,8,0,60.0,40.0,0.0,2022,2
Yucatán,MERIDA,Merida,222,152,70,0,68.47,31.53,0.0,2022,2
Yucatán,PROGRESO,Merida,24,14,10,0,58.33,41.67,0.0,2022,2
Yucatán,UMAN,Merida,9,6,3,0,66.67,33.33,0.0,2022,2
Yucatán,KANASIN,MERIDA,24,11,13,0,45.83,54.17,0.0,2022,3
Yucatán,MERIDA,MERIDA,211,159,52,0,75.36,24.64,0.0,2022,3
Yucatán,PROGRESO,MERIDA,24,13,11,0,54.17,45.83,0.0,2022,3
Yucatán,UMAN,MERIDA,4,3,1,0,75.0,25.0,0.0,2022,3
Yucatán,KANASIN,MERIDA,23,12,11,0,52.17,47.83,0.0,2022,4
Yucatán,MERIDA,MERIDA,212,157,55,0,74.06,25.94,0.0,2022,4
Yucatán,PROGRESO,MERIDA,23,13,10,0,56.52,43.48,0.0,2022,4
Yucatán,UMAN,MERIDA,4,3,1,0,75.0,25.0,0.0,2022,4
Yucatán,KANASIN,"MERIDA",29,21,8,0,72.41,27.59,0.0,2023,1
Yucatán,MERIDA,"MERIDA",211,166,44,1,78.67,20.85,0.47,2023,1
Yucatán,PROGRESO,"MERIDA",22,12,10,0,54.55,45.45,0.0,2023,1
Yucatán,KANASIN,"MERIDA",30,15,15,0,50.0,50.0,0.0,2023,2
Yucatán,MERIDA,"MERIDA",222,181,41,0,81.53,18.47,0.0,2023,2
Yucatán,PROGRESO,"MERIDA",19,8,11,0,42.11,57.89,0.0,2023,2
Yucatán,KANASIN,"MERIDA",30,25,5,0,83.33,16.67,0.0,2023,3
Yucatán,MERIDA,"MERIDA",218,165,53,0,75.69,24.31,0.0,2023,3
Yucatán,PROGRESO,"MERIDA",19,7,12,0,36.84,63.16,0.0,2023,3
Yucatán,KANASIN,MERIDA,30,20,10,0,66.67,33.33,0.0,2023,4
Yucatán,MERIDA,MERIDA,229,184,45,0,80.35,19.65,0.0,2023,4
Yucatán,PROGRESO,MERIDA,9,4,5,0,44.44,55.56,0.0,2023,4
Yucatán,KANASIN,MERIDA,33,25,8,0,75.76,24.24,0.0,2024,1
Yucatán,MERIDA,MERIDA,216,166,50,0,76.85,23.15,0.0,2024,1
Yucatán,PROGRESO,MERIDA,8,5,3,0,62.5,37.5,0.0,2024,1
Yucatán,KANASIN,MERIDA,21,14,7,0,66.67,33.33,0.0,2024,2
Yucatán,MERIDA,MERIDA,226,186,40,0,82.3,17.7,0.0,2024,2
Yucatán,PROGRESO,MERIDA,4,2,2,0,50.0,50.0,0.0,2024,2
Yucatán,UMAN,MERIDA,5,2,3,0,40.0,60.0,0.0,2024,2
Yucatán,KANASIN,MERIDA,25,20,5,0,80.0,20.0,0.0,2024,3
Yucatán,MERIDA,MERIDA,223,177,46,0,79.37,20.63,0.0,2024,3
Yucatán,PROGRESO,MERIDA,5,3,2,0,60.0,40.0,0.0,2024,3
Yucatán,UMAN,MERIDA,5,3,2,0,60.0,40.0,0.0,2024,3
Yucatán,KANASIN,MERIDA,35,19,16,0,54.29,45.71,0.0,2024,4
Yucatán,MERIDA,MERIDA,210,155,55,0,73.81,26.19,0.0,2024,4
Yucatán,PROGRESO,MERIDA,5,3,2,0,60.0,40.0,0.0,2024,4
Yucatán,UMAN,MERIDA,10,3,7,0,30.0,70.0,0.0,2024,4
Yucatán,KANASIN,MERIDA,29,15,14,0,51.72,48.28,0.0,2025,1
Yucatán,MERIDA,MERIDA,209,138,71,0,66.03,33.97,0.0,2025,1
Yucatán,PROGRESO,MERIDA,10,6,4,0,60.0,40.0,0.0,2025,1
Yucatán,UMAN,MERIDA,10,4,6,0,40.0,60.0,0.0,2025,1
Yucatán,KANASIN,MERIDA,25,8,17,0,32.0,68.0,0.0,2025,2
Yucatán,MERIDA,MERIDA,211,138,73,0,65.4,34.6,0.0,2025,2
Yucatán,PROGRESO,MERIDA,9,6,3,0,66.67,33.33,0.0,2025,2
Yucatán,UMAN,MERIDA,10,4,6,0,40.0,60.0,0.0,2025,2
